Legend:

1-P =,Untitled 1 Process


Interval:,15,Seconds
DataPoint,LogDate,LogTime,1-P °C
0,9/8/2022,11:52:50 AM,27
1,9/8/2022,11:53:05 AM,27
2,9/8/2022,11:53:20 AM,27
3,9/8/2022,11:53:35 AM,28
4,9/8/2022,11:53:50 AM,28
5,9/8/2022,11:54:05 AM,29
6,9/8/2022,11:54:20 AM,30
7,9/8/2022,11:54:35 AM,31
8,9/8/2022,11:54:50 AM,33
9,9/8/2022,11:55:05 AM,35
10,9/8/2022,11:55:20 AM,37
11,9/8/2022,11:55:35 AM,39
12,9/8/2022,11:55:50 AM,42
13,9/8/2022,11:56:05 AM,43
14,9/8/2022,11:56:20 AM,46
15,9/8/2022,11:56:35 AM,48
16,9/8/2022,11:56:50 AM,51
17,9/8/2022,11:57:05 AM,54
18,9/8/2022,11:57:20 AM,56
19,9/8/2022,11:57:35 AM,59
20,9/8/2022,11:57:50 AM,63
21,9/8/2022,11:58:05 AM,64
22,9/8/2022,11:58:20 AM,66
23,9/8/2022,11:58:35 AM,69
24,9/8/2022,11:58:50 AM,72
25,9/8/2022,11:59:05 AM,75
26,9/8/2022,11:59:20 AM,76
27,9/8/2022,11:59:35 AM,79
28,9/8/2022,11:59:50 AM,80
29,9/8/2022,12:00:05 PM,82
30,9/8/2022,12:00:20 PM,84
31,9/8/2022,12:00:35 PM,86
32,9/8/2022,12:00:50 PM,89
33,9/8/2022,12:01:05 PM,90
34,9/8/2022,12:01:20 PM,92
35,9/8/2022,12:01:35 PM,94
36,9/8/2022,12:01:50 PM,95
37,9/8/2022,12:02:05 PM,97
38,9/8/2022,12:02:20 PM,98
39,9/8/2022,12:02:35 PM,100
40,9/8/2022,12:02:50 PM,101
41,9/8/2022,12:03:05 PM,103
42,9/8/2022,12:03:20 PM,104
43,9/8/2022,12:03:35 PM,106
44,9/8/2022,12:03:50 PM,107
45,9/8/2022,12:04:05 PM,108
46,9/8/2022,12:04:20 PM,109
47,9/8/2022,12:04:35 PM,110
48,9/8/2022,12:04:50 PM,111
49,9/8/2022,12:05:05 PM,112
50,9/8/2022,12:05:20 PM,113
51,9/8/2022,12:05:35 PM,114
52,9/8/2022,12:05:50 PM,115
53,9/8/2022,12:06:05 PM,116
54,9/8/2022,12:06:20 PM,117
55,9/8/2022,12:06:35 PM,117
56,9/8/2022,12:06:50 PM,118
57,9/8/2022,12:07:05 PM,119
58,9/8/2022,12:07:20 PM,120
59,9/8/2022,12:07:35 PM,120
60,9/8/2022,12:07:50 PM,121
61,9/8/2022,12:08:05 PM,122
62,9/8/2022,12:08:20 PM,122
63,9/8/2022,12:08:35 PM,123
64,9/8/2022,12:08:50 PM,123
65,9/8/2022,12:09:05 PM,124
66,9/8/2022,12:09:20 PM,124
67,9/8/2022,12:09:35 PM,124
68,9/8/2022,12:09:50 PM,125
69,9/8/2022,12:10:05 PM,125
70,9/8/2022,12:10:20 PM,126
71,9/8/2022,12:10:35 PM,126
72,9/8/2022,12:10:50 PM,127
73,9/8/2022,12:11:05 PM,127
74,9/8/2022,12:11:20 PM,127
